,movieId,title,overview,poster_path,video_key,genresId
0,5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,https://www.youtube.com/embed/S_Pd2pGkq54,4
1,6,Judgment Night,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat & mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",/rYFAvSPlQUCebayLcxyK79yvtvV.jpg,https://www.youtube.com/embed/G5p7wq2PcJM,"3,9,13"
2,11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,https://www.youtube.com/embed/XHk5kCIiGoM,"4,18,19"
3,12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,https://www.youtube.com/embed/TOQsDiEc7nk,"4,10"
4,13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,https://www.youtube.com/embed/bLvqoHBptjg,"14,16,17"
5,14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",/wby9315QzVKdW9BonAefg8jGTTb.jpg,https://www.youtube.com/embed/IJM3cZlqwlA,19
6,15,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",/fVHaHYRJhh54BsOtxZtwVglEum5.jpg,https://www.youtube.com/embed/fAcLNMkzfTE,"9,14,18"
7,16,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg,https://www.youtube.com/embed/53vr9EiOH7g,"3,19"
8,18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,https://www.youtube.com/embed/ZH4islqoA8o,4
9,19,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",/hUK9rewffKGqtXynH5SW3v9hzcu.jpg,https://www.youtube.com/embed/gdtZv3XROnc,4
