,userId,movieId,rating
2,1,6,4.0
5,1,70,3.0
6,1,101,5.0
7,1,110,4.0
9,1,157,5.0
10,1,163,5.0
11,1,216,5.0
12,1,223,3.0
13,1,231,5.0
14,1,235,4.0
15,1,260,5.0
16,1,296,3.0
18,1,333,5.0
23,1,423,3.0
24,1,441,4.0
26,1,480,4.0
27,1,500,3.0
28,1,527,5.0
30,1,552,4.0
31,1,553,5.0
32,1,590,4.0
33,1,592,4.0
34,1,593,4.0
35,1,596,5.0
36,1,608,5.0
37,1,648,3.0
38,1,661,5.0
39,1,673,3.0
42,1,780,3.0
43,1,804,4.0
44,1,919,5.0
45,1,923,5.0
46,1,940,5.0
47,1,943,4.0
48,1,954,5.0
51,1,1024,5.0
58,1,1049,5.0
60,1,1073,5.0
62,1,1089,5.0
63,1,1090,4.0
64,1,1092,5.0
74,1,1213,5.0
84,1,1265,4.0
87,1,1278,5.0
88,1,1282,5.0
92,1,1377,3.0
93,1,1396,3.0
94,1,1408,3.0
99,1,1552,4.0
100,1,1573,5.0
101,1,1580,3.0
102,1,1587,5.0
104,1,1620,4.0
106,1,1644,3.0
109,1,1777,4.0
114,1,1927,5.0
115,1,1954,5.0
116,1,1967,4.0
117,1,2000,4.0
118,1,2005,5.0
120,1,2018,5.0
121,1,2028,4.0
122,1,2033,5.0
123,1,2046,4.0
124,1,2048,5.0
125,1,2054,4.0
126,1,2058,5.0
132,1,2099,4.0
133,1,2105,4.0
135,1,2116,5.0
140,1,2161,5.0
142,1,2193,4.0
143,1,2253,2.0
144,1,2268,4.0
146,1,2291,5.0
153,1,2395,5.0
159,1,2470,5.0
162,1,2502,5.0
163,1,2528,3.0
169,1,2616,4.0
170,1,2617,2.0
172,1,2640,4.0
176,1,2654,5.0
177,1,2657,3.0
181,1,2761,5.0
186,1,2899,5.0
192,1,2959,5.0
198,1,3033,5.0
199,1,3034,5.0
201,1,3053,5.0
202,1,3062,4.0
205,1,3176,1.0
232,2,318,3.0
233,2,333,4.0
262,3,527,0.5
263,3,647,0.5
264,3,688,0.5
266,3,849,5.0
267,3,914,0.5
268,3,1093,0.5
269,3,1124,0.5
271,3,1272,0.5
274,3,1371,3.0
275,3,1587,4.5
276,3,2018,0.5
277,3,2080,0.5
279,3,2105,2.0
280,3,2288,4.0
287,3,4518,5.0
292,3,5919,5.0
300,4,21,3.0
305,4,58,3.0
306,4,106,4.0
309,4,162,5.0
310,4,171,3.0
311,4,176,5.0
313,4,215,5.0
316,4,235,2.0
317,4,247,3.0
318,4,260,5.0
320,4,296,1.0
321,4,319,5.0
323,4,345,4.0
324,4,348,4.0
329,4,441,1.0
332,4,475,5.0
333,4,492,5.0
334,4,509,1.0
337,4,553,2.0
338,4,588,4.0
339,4,593,5.0
340,4,595,3.0
341,4,599,2.0
342,4,608,5.0
343,4,648,3.0
344,4,708,4.0
345,4,759,3.0
346,4,800,4.0
347,4,892,4.0
348,4,898,5.0
350,4,902,4.0
353,4,910,5.0
354,4,912,5.0
355,4,914,5.0
356,4,919,5.0
357,4,920,5.0
364,4,1073,4.0
371,4,1103,5.0
382,4,1213,4.0
385,4,1250,5.0
386,4,1259,4.0
387,4,1265,4.0
388,4,1266,4.0
390,4,1282,5.0
395,4,1391,1.0
400,4,1580,3.0
401,4,1597,1.0
403,4,1641,4.0
408,4,1734,3.0
411,4,1883,4.0
412,4,1885,3.0
413,4,1892,2.0
414,4,1895,4.0
415,4,1907,3.0
418,4,1923,3.0
419,4,1947,5.0
420,4,1966,2.0
421,4,1967,5.0
422,4,1968,4.0
423,4,2019,2.0
426,4,2109,4.0
437,4,2359,4.0
439,4,2395,3.0
451,4,2770,2.0
457,4,2926,5.0
458,4,2959,2.0
461,4,3033,4.0
464,4,3079,3.0
465,4,3083,5.0
467,4,3175,1.0
468,4,3176,4.0
507,4,4347,4.0
515,4,4967,5.0
517,5,21,4.0
522,5,58,5.0
523,5,110,4.0
524,5,150,3.0
525,5,153,3.0
527,5,247,5.0
528,5,253,3.0
529,5,261,4.0
531,5,266,1.0
532,5,290,5.0
533,5,296,5.0
534,5,300,3.0
536,5,318,3.0
540,5,364,3.0
542,5,380,2.0
546,5,475,5.0
548,5,527,5.0
550,5,534,3.0
551,5,588,4.0
553,5,590,5.0
554,5,592,3.0
555,5,594,5.0
556,5,595,5.0
557,5,596,5.0
558,5,597,3.0
559,5,608,3.0
563,6,5,5.0
564,6,6,4.0
568,6,11,4.0
569,6,13,3.0
570,6,15,4.0
571,6,16,4.0
573,6,19,2.0
574,6,21,2.0
575,6,22,5.0
576,6,24,4.0
577,6,25,3.0
593,6,62,4.0
594,6,65,3.0
595,6,66,3.0
596,6,76,4.0
597,6,79,3.0
599,6,87,3.0
600,6,88,2.0
601,6,89,4.0
603,6,93,4.0
604,6,95,4.0
605,6,100,3.0
607,6,104,4.0
608,6,105,3.0
609,6,110,5.0
610,6,112,4.0
611,6,113,3.0
614,6,140,3.0
615,6,141,4.0
616,6,145,4.0
617,6,146,4.0
618,6,150,4.0
620,6,153,3.0
621,6,158,4.0
624,6,161,3.0
625,6,163,3.0
626,6,165,3.0
627,6,168,5.0
628,6,170,3.0
629,6,171,3.0
630,6,174,3.0
631,6,177,3.0
632,6,179,1.0
635,6,185,3.0
636,6,186,3.0
637,6,189,3.0
640,6,196,3.0
641,6,201,3.0
642,6,204,3.0
643,6,205,3.0
644,6,207,4.0
648,6,212,4.0
649,6,216,4.0
650,6,217,3.0
651,6,218,2.0
652,6,219,3.0
657,6,231,3.0
658,6,234,2.0
659,6,236,4.0
661,6,239,3.0
662,6,240,3.0
663,6,243,3.0
664,6,248,5.0
665,6,250,4.0
666,6,251,3.0
667,6,252,4.0
668,6,253,3.0
669,6,254,3.0
671,6,257,5.0
673,6,261,4.0
674,6,262,5.0
676,6,266,3.0
677,6,267,3.0
681,6,274,4.0
682,6,276,4.0
683,6,277,5.0
684,6,279,3.0
685,6,281,4.0
687,6,288,2.0
688,6,289,3.0
689,6,291,3.0
690,6,292,4.0
691,6,293,3.0
692,6,296,2.0
693,6,302,3.0
694,6,303,3.0
696,6,310,3.0
699,6,314,5.0
700,6,315,4.0
703,6,318,5.0
704,6,327,1.0
705,6,329,4.0
706,6,330,3.0
707,6,332,3.0
708,6,333,5.0
709,6,336,3.0
711,6,339,4.0
712,6,340,4.0
714,6,343,3.0
717,6,348,3.0
719,6,350,5.0
732,6,364,5.0
739,6,377,5.0
740,6,378,3.0
741,6,380,4.0
742,6,381,3.0
745,6,405,3.0
748,6,415,4.0
751,6,426,3.0
754,6,435,3.0
755,6,437,3.0
756,6,440,4.0
757,6,445,3.0
759,6,454,4.0
760,6,455,3.0
763,6,460,3.0
764,6,466,2.0
765,6,468,4.0
766,6,469,4.0
769,6,475,4.0
771,6,480,5.0
773,6,489,3.0
774,6,490,3.0
778,6,497,3.0
779,6,500,5.0
780,6,502,3.0
781,6,505,3.0
782,6,508,4.0
783,6,509,3.0
784,6,510,3.0
788,6,524,3.0
789,6,527,3.0
791,6,532,3.0
795,6,540,3.0
796,6,542,4.0
798,6,546,2.0
799,6,548,3.0
800,6,552,3.0
801,6,553,5.0
803,6,575,3.0
804,6,587,5.0
805,6,588,5.0
807,6,590,5.0
808,6,592,3.0
809,6,593,4.0
810,6,594,4.0
811,6,595,5.0
812,6,596,3.0
813,6,597,4.0
814,6,606,3.0
815,6,608,3.0
816,6,609,4.0
817,6,616,5.0
818,6,628,3.0
819,6,631,4.0
820,6,637,4.0
821,6,640,1.0
822,6,647,4.0
823,6,662,3.0
824,6,667,3.0
825,6,694,3.0
827,6,700,4.0
828,6,704,3.0
829,6,708,4.0
830,6,709,5.0
831,6,710,3.0
832,6,711,4.0
835,6,747,3.0
836,6,762,1.0
837,6,765,3.0
838,6,775,3.0
839,6,780,5.0
840,6,783,5.0
841,6,795,3.0
843,6,801,3.0
844,6,802,4.0
845,6,818,3.0
846,6,830,5.0
848,6,837,3.0
849,6,838,4.0
850,6,839,3.0
851,6,842,3.0
852,6,848,4.0
854,6,867,3.0
855,6,880,3.0
856,6,881,3.0
857,6,888,3.0
858,6,891,3.0
859,6,979,3.0
860,6,981,3.0
862,6,991,4.0
863,6,996,4.0
868,6,1049,5.0
871,6,1073,3.0
876,7,58,3.0
877,7,150,4.5
878,7,165,4.0
879,7,260,5.0
881,7,380,3.0
882,7,466,5.0
883,7,480,5.0
884,7,587,2.0
885,7,588,3.0
887,7,592,3.0
888,7,593,5.0
889,7,595,3.5
890,7,648,4.0
892,7,780,4.5
893,7,920,3.0
894,7,924,4.0
903,7,1246,1.5
906,7,1584,5.0
907,7,1610,4.0
909,7,1682,3.0
912,7,1923,1.5
913,7,1954,4.5
914,7,2019,5.0
919,7,2640,3.0
920,7,2671,4.5
927,7,3114,4.5
943,7,4643,1.0
947,7,4886,4.0
951,7,4995,4.5
973,7,7445,4.0
977,7,8373,2.0
980,7,8665,3.5
986,7,8870,3.5
992,7,8961,4.0
994,7,8970,2.5
996,7,8984,4.0
1028,8,11,4.0
1029,8,21,4.0
1035,8,110,3.0
1036,8,141,3.0
1037,8,150,4.0
1038,8,153,2.0
1039,8,185,5.0
1040,8,186,4.0
1042,8,231,4.0
1043,8,235,3.0
1044,8,236,3.0
1045,8,252,3.0
1046,8,253,5.0
1048,8,292,3.0
1049,8,296,4.0
1051,8,318,5.0
1052,8,339,3.0
1055,8,364,5.0
1057,8,377,4.0
1058,8,380,5.0
1060,8,440,3.0
1061,8,454,4.0
1063,8,480,4.0
1064,8,500,2.0
1065,8,527,5.0
1067,8,586,3.0
1068,8,587,3.0
1069,8,590,5.0
1070,8,592,3.0
1071,8,593,4.0
1072,8,597,3.0
1074,9,187,3.0
1075,9,223,4.0
1077,9,627,3.0
1078,9,922,4.0
1079,9,923,5.0
1086,9,2011,3.0
1088,9,2023,3.0
1089,9,2300,5.0
1111,9,5902,5.0
1119,10,296,1.0
1121,10,588,4.0
1122,10,597,3.5
1123,10,912,4.0
1125,10,1088,3.0
1126,10,1247,3.0
1129,10,1907,4.0
1131,10,2671,3.5
1134,10,2959,0.5
1141,10,4995,4.0
1160,10,7451,3.5
1165,10,8665,3.5
1167,10,8869,5.0
1168,10,8961,2.5
1170,10,8970,1.0
1173,10,31685,4.5
1178,10,40819,4.0
1259,11,6,5.0
1263,11,95,3.0
1264,11,110,5.0
1265,11,150,5.0
1266,11,153,3.0
1267,11,165,3.0
1268,11,170,4.0
1270,11,292,4.0
1271,11,318,4.0
1276,11,377,3.0
1277,11,380,4.0
1280,11,466,3.0
1282,11,480,4.0
1287,11,593,5.0
1288,11,648,4.0
1291,11,780,4.0
1295,11,1358,4.0
1296,11,1370,3.0
1298,11,1391,1.0
1299,11,1408,5.0
1302,11,1552,4.0
1303,11,1573,3.0
1304,11,1584,5.0
1305,11,1586,4.0
1306,11,1597,4.0
1310,11,1687,3.0
1319,11,1923,4.0
1322,11,2028,5.0
1324,12,168,5.0
1327,12,261,4.5
1328,12,277,3.0
1331,12,830,4.0
1332,12,838,5.0
1333,12,920,4.5
1334,12,1265,3.5
1336,12,1405,3.0
1340,12,2100,3.5
1357,13,597,3.0
1361,13,1619,3.0
1362,13,1639,4.0
1370,13,3513,3.0
1384,13,4011,5.0
1385,13,4148,4.0
1388,14,19,1.0
1389,14,25,4.0
1393,14,95,5.0
1394,14,105,3.0
1395,14,110,5.0
1396,14,150,4.0
1397,14,153,2.0
1398,14,193,3.0
1399,14,231,3.0
1400,14,266,5.0
1402,14,288,4.0
1403,14,296,3.0
1404,14,318,3.0
1406,14,339,4.0
1412,14,377,3.0
1416,14,455,3.0
1418,14,480,3.0
1420,14,508,3.0
1421,14,509,5.0
1422,14,524,3.0
1423,14,527,3.0
1425,14,540,3.0
