RatingId	RaterId	Value	DateRated	MovieId
1	1	4	19/04/2021 20:03:34	6
2	1	3	19/04/2021 20:03:34	70
3	1	5	19/04/2021 20:03:34	101
4	1	4	19/04/2021 20:03:34	110
5	1	5	19/04/2021 20:03:34	157
6	1	5	19/04/2021 20:03:34	163
7	1	5	19/04/2021 20:03:34	216
8	1	3	19/04/2021 20:03:34	223
9	1	5	19/04/2021 20:03:34	231
10	1	4	19/04/2021 20:03:34	235
11	1	5	19/04/2021 20:03:34	260
12	1	3	19/04/2021 20:03:34	296
13	1	5	19/04/2021 20:03:34	333
14	1	3	19/04/2021 20:03:34	423
15	1	4	19/04/2021 20:03:34	441
16	1	4	19/04/2021 20:03:34	480
17	1	3	19/04/2021 20:03:34	500
18	1	5	19/04/2021 20:03:34	527
19	1	4	19/04/2021 20:03:34	552
20	1	5	19/04/2021 20:03:34	553
21	1	4	19/04/2021 20:03:34	590
22	1	4	19/04/2021 20:03:34	592
23	1	4	19/04/2021 20:03:34	593
24	1	5	19/04/2021 20:03:34	596
25	1	5	19/04/2021 20:03:34	608
26	1	3	19/04/2021 20:03:34	648
27	1	5	19/04/2021 20:03:34	661
28	1	3	19/04/2021 20:03:34	673
29	1	3	19/04/2021 20:03:34	780
30	1	4	19/04/2021 20:03:34	804
31	1	5	19/04/2021 20:03:34	919
32	1	5	19/04/2021 20:03:34	923
33	1	5	19/04/2021 20:03:34	940
34	1	4	19/04/2021 20:03:34	943
35	1	5	19/04/2021 20:03:34	954
36	1	5	19/04/2021 20:03:34	1024
37	1	5	19/04/2021 20:03:34	1049
38	1	5	19/04/2021 20:03:34	1073
39	1	5	19/04/2021 20:03:34	1089
40	1	4	19/04/2021 20:03:34	1090
41	1	5	19/04/2021 20:03:34	1092
42	1	5	19/04/2021 20:03:34	1213
43	1	4	19/04/2021 20:03:34	1265
44	1	5	19/04/2021 20:03:34	1278
45	1	5	19/04/2021 20:03:34	1282
46	1	3	19/04/2021 20:03:34	1377
47	1	3	19/04/2021 20:03:34	1396
48	1	3	19/04/2021 20:03:34	1408
49	1	4	19/04/2021 20:03:34	1552
50	1	5	19/04/2021 20:03:34	1573
51	1	3	19/04/2021 20:03:34	1580
52	1	5	19/04/2021 20:03:34	1587
53	1	4	19/04/2021 20:03:34	1620
54	1	3	19/04/2021 20:03:34	1644
55	1	4	19/04/2021 20:03:34	1777
56	1	5	19/04/2021 20:03:34	1927
57	1	5	19/04/2021 20:03:34	1954
58	1	4	19/04/2021 20:03:34	1967
59	1	4	19/04/2021 20:03:34	2000
60	1	5	19/04/2021 20:03:34	2005
61	1	5	19/04/2021 20:03:34	2018
62	1	4	19/04/2021 20:03:34	2028
63	1	5	19/04/2021 20:03:34	2033
64	1	4	19/04/2021 20:03:34	2046
65	1	5	19/04/2021 20:03:34	2048
66	1	4	19/04/2021 20:03:34	2054
67	1	5	19/04/2021 20:03:34	2058
68	1	4	19/04/2021 20:03:34	2099
69	1	4	19/04/2021 20:03:34	2105
70	1	5	19/04/2021 20:03:34	2116
71	1	5	19/04/2021 20:03:34	2161
72	1	4	19/04/2021 20:03:34	2193
73	1	2	19/04/2021 20:03:34	2253
74	1	4	19/04/2021 20:03:34	2268
75	1	5	19/04/2021 20:03:34	2291
76	1	5	19/04/2021 20:03:34	2395
77	1	5	19/04/2021 20:03:34	2470
78	1	5	19/04/2021 20:03:34	2502
79	1	3	19/04/2021 20:03:34	2528
80	1	4	19/04/2021 20:03:34	2616
81	1	2	19/04/2021 20:03:34	2617
82	1	4	19/04/2021 20:03:34	2640
83	1	5	19/04/2021 20:03:34	2654
84	1	3	19/04/2021 20:03:34	2657
85	1	5	19/04/2021 20:03:34	2761
86	1	5	19/04/2021 20:03:34	2899
87	1	5	19/04/2021 20:03:34	2959
88	1	5	19/04/2021 20:03:34	3033
89	1	5	19/04/2021 20:03:34	3034
90	1	5	19/04/2021 20:03:34	3053
91	1	4	19/04/2021 20:03:34	3062
92	1	1	19/04/2021 20:03:34	3176
488	10	0.5	19/04/2021 20:03:34	2959
487	10	3.5	19/04/2021 20:03:34	2671
489	10	4	19/04/2021 20:03:34	4995
490	10	3.5	19/04/2021 20:03:34	7451
491	10	3.5	19/04/2021 20:03:34	8665
492	10	5	19/04/2021 20:03:34	8869
493	10	2.5	19/04/2021 20:03:34	8961
494	10	1	19/04/2021 20:03:34	8970
495	10	4.5	19/04/2021 20:03:34	31685
496	10	4	19/04/2021 20:03:34	40819
486	10	4	19/04/2021 20:03:34	1907
485	10	3	19/04/2021 20:03:34	1247
484	10	3	19/04/2021 20:03:34	1088
483	10	4	19/04/2021 20:03:34	912
482	10	3.5	19/04/2021 20:03:34	597
481	10	4	19/04/2021 20:03:34	588
